stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
68138,902555,BELLEMEADE AVE NW@BUCHANAN ST NW,0 BELLEMEADE & BUCHANAN,33.80045,-84.4131,,,,
68160,902605,HUFF RD NW@HOWELL MILL RD NW,0 HUFF & HOWELL MILL,33.7876,-84.412393,,,,
68220,901784,HOWELL MILL RD NW@MORRIS ST NW,0 HOWELL MILL & MORRIS,33.796454,-84.416271,,,,
68225,901712,HOLLYWOOD RD@SAINT PAUL AVE,0 HOLLYWOOD & ST PAUL,33.789981,-84.466705,,,,
68242,901716,HOWELL MILL RD NW@HUFF RD NW,0 HOWELL MILL & HUFF,33.78799,-84.412014,,,,
68244,901717,HOWELL MILL RD NW@BISHOP ST NW,0 HOWELL MILL & BISHOP,33.790513,-84.412227,,,,
68248,901718,HOWELL MILL RD NW@TRABERT AVE NW,0 HOWELL MILL & TRABERT,33.793236,-84.414185,,,,
68250,901719,HOWELL MILL RD NW@TRABERT AVE NW,0 HOWELL MILL & TRABERT,33.793402,-84.414508,,,,
68252,901830,HOWELL MILL RD NW@FORREST ST NW,0 HOWELL MILL & FORREST,33.795891,-84.415756,,,,
68254,901936,HOWELL MILL RD NW@ANTONE ST NW,0 HOWELL MILL RD NW & ANTONE ST NW,33.797831,-84.416104,,,,
68255,902044,HOWELL MILL RD NW@HOLMES ST NW,0 HOWELL MILL & HOLMES,33.799483,-84.415966,,,,
68256,902045,HOWELL MILL RD NW@BELLEMEADE AVE NW,0 HOWELL MILL & BELLEMEADE,33.80031,-84.415716,,,,
68257,902046,HOWELL MILL RD NW@RIDGEWAY AVE NW,0 HOWELL MILL & RIDGEWAY,33.802238,-84.414913,,,,
68258,902047,HOWELL MILL RD NW@WHITE ST NW,0 HOWELL MILL & WHITE,33.801602,-84.415765,,,,
68259,901937,HOWELL MILL RD NW@VERNER ST NW,0 HOWELL MILL & VERNER,33.79901,-84.416163,,,,
68260,901938,HOWELL MILL RD NW@1775,,33.803696,-84.413788,,,,
68262,901939,HOWELL MILL RD NW@BECK ST NW,0 HOWELL MILL & BECK,33.807008,-84.412633,,,,
68264,901940,HOWELL MILL RD NW@CHANNING DR NW,0 HOWELL MILL & CHANNING,33.807553,-84.412505,,,,
68266,902048,HOWELL MILL RD NW@COLLIER RD NW,0 HOWELL MILL & COLLIER,33.809794,-84.412681,,,,
68267,902049,HOWELL MILL RD NW@SPRING LAKE PL NW,,33.812475,-84.41413,,,,
68276,902051,HOWELL MILL RD NW@14TH ST NW,0 HOWELL MILL & 14TH,33.785439,-84.411557,,,,
68278,901941,HOWELL MILL RD NW@HUFF RD NW,0 HOWELL MILL & HUFF,33.78759,-84.411728,,,,
68300,902276,NORTHSIDE DR NW@NORTHSIDE CIR NW,0 NORTHSIDE DR NW & NORTHSIDE CIR NW,33.797085,-84.407804,,,,
68302,902277,BELLEMEADE AVE NW@NORTHSIDE DR NW,0 BELLEMEADE & NORTHSIDE,33.80035,-84.40851,,,,
68304,902278,BELLEMEADE AVE NW@COMMERCE DR NW,0 BELLEMEADE & COMMERCE,33.800419,-84.41111,,,,
